DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_FORMATADO,NOME_FANTASIA,ID,LATITUDE,LONGITUDE,ENDERECO_NOMINATIM,HAS_GEOLOC,NORMALIZED_NAME,NOME_PRATO,PRATO_DESCRICAO,PRATO_IMAGEM,HAS_CDB
15-10-1993,NÃO,"RUA LUIZ PONGELUPE, 290",PIZZARIA E CHURRASCARIA VARANDA,1,-19.7993229,-43.9760286,"Rua Luiz Pongellupe, Vila SESC, Jardim dos Comerciários, Venda Nova, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 31640-060, Brasil",True,pizzaria_e_churrascaria_varanda,,,,False
02-05-1994,NÃO,"AV RESSACA, 118",RABBIT BURGER,2,-19.921143,-43.9860821,"Avenida Ressaca, Coração Eucarístico, Regional Noroeste, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30535-610, Brasil",True,rabbit_burger,,,,False
24-11-1993,SIM,"RUA DESEMBARGADOR RIBEIRO DA LUZ, 135",TATU REI DO ANGU A  BAHIANA,3,-19.9732009,-44.0141918,"Rua Desembargador Ribeiro da Luz, Barreiro de Baixo, Barreiro, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30640-020, Brasil",True,tatu_rei_do_angu_a_bahiana,,,,False
01-10-1993,SIM,"AV CRISTIANO MACHADO, 1950",ESPACO DA FEIJOADA,4,-19.8903695,-43.9282191,"Feira dos Produtores, 1950, Avenida Cristiano Machado, Cidade Nova, Regional Nordeste, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 31170-020, Brasil",True,espaco_da_feijoada,,,,False
16-09-2011,SIM,"RUA DOS OTONI, 222",RESTAURANTE NOVO SABOR,5,-19.9260875,-43.9261851,"Rua dos Otoni, Santa Efigênia, Regional Centro-Sul, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30130-090, Brasil",True,restaurante_novo_sabor,,,,False
26-08-2011,NÃO,"RUA FURQUIM WERNECK, 619",RESTAURANTE E PIZZARIA VALORES DE MINAS,6,-19.8440657,-43.9188281,"Rua Furquim Werneck, Guarani, Regional Norte, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 31814-620, Brasil",True,restaurante_e_pizzaria_valores_de_minas,,,,False
21-09-2011,NÃO,"RUA MANGARATIBA, 390",PIZZAIOLO SAO GERALDO II,7,-19.8997465,-43.9020946,"Rua Mangaratiba, São Geraldo, Regional Leste, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 31060-470, Brasil",True,pizzaiolo_sao_geraldo_ii,,,,False
21-09-2011,NÃO,"RUA SERGIPE, 1360",XICO DO CHURRASCO SAVASSI,8,-19.9382457,-43.9384554,"1360, Rua Sergipe, Savassi, Regional Centro-Sul, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30130-174, Brasil",True,xico_do_churrasco_savassi,,,,False
30-09-2011,SIM,"RUA CARLOS TORREZANI, 285",CANTINA DO CHURRASCO,9,-19.8094611,-43.9804162,"Rua Carlos Torrezani, Letícia, Venda Nova, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 31570-000, Brasil",True,cantina_do_churrasco,,,,False
14-09-2011,SIM,"AV RAJA GABAGLIA, 2664",TOSCANINI CAFE,10,-19.971031,-43.9516745,"Avenida Raja Gabaglia, Santa Lúcia, Regional Centro-Sul, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30360-070, Brasil",True,toscanini_cafe,,,,False
